a;b;c;
-102544000000000,00;467797000000000,00;Gabinete curiosidades Karnart;
-102612000000000,00;467802000000000,00;Academia Dramática Familiar 1º de Novembro;
-101900000000000,00;467960000000000,00;Espaço POGO;
-101845000000000,00;468036000000000,00;Mini-teatro da Calçada;
-101893000000000,00;468081000000000,00;Sociedade de Instrução Guilherme Cossoul;
-10219900000000,00;468086000000000,00;Teatro Lanterna Mágica;
-101636000000000,00;468103000000000,00;Teatro da Voz;
-101912000000000,00;468109000000000,00;Espaço Eclipse;
-101801000000000,00;468171000000000,00;Teatro Tivoli BBVA;
-102441000000000,00;468603000000000,00;Teatro Turim;
-10223900000000,00;468752000000000,00;Teatro da Luz (Teatro Dom Luiz Filipe);
-101970000000000,00;468095000000000,00;Casa do Jardim da Estrela;
-101789000000000,00;468612000000000,00;Coruchéus;
