a;b;c
-10,1815;46,7966;Cais do Sodré
-10,1681;46,7981;Terreiro do Paço
-10,1748;46,8030;Baixa Chiado
-10,1549;46,8078;Santa Apolónia
-10,1722;46,8079;Rossio
-10,1770;46,8106;Restauradores
-10,1699;46,8132;Martim Moniz
-10,1803;46,8156;Avenida
-10,1910;46,8167;Rato
-10,1692;46,8211;Intendente
-10,1855;46,8230;Marquês de Pombal
-10,1688;46,8266;Anjos
-10,1859;46,8292;Parque
-10,1823;46,8313;Picoas
-10,1682;46,8348;Arroios
-10,1901;46,8370;São Sebastião
-10,1805;46,8381;Saldanha
-10,1677;46,8408;Alameda
-10,1960;46,8418;Praça de Espanha
-10,1557;46,8452;Olaias
-10,1820;46,8463;Campo Pequeno
-10,2065;46,8473;Jardim Zoológico
-10,1673;46,8485;Areeiro
-10,1837;46,8552;Entre Campos
-10,1497;46,8560;Bela Vista
-10,1761;46,8567;Roma
-10,2109;46,8575;Laranjeiras
-10,2192;46,8592;Alto dos Moinhos
-10,1959;46,8615;Cidade Universitária
-10,2680;46,8625;Reboleira
-10,1791;46,8638;Alvalade
-10,2295;46,8642;Colégio Militar
-10,1456;46,8663;Chelas
-10,2613;46,8717;Amadora Este
-10,2332;46,8723;Carnide
-10,1945;46,8738;Campo Grande
-10,2040;46,8735;Telheiras
-10,1432;46,8748;Olivais
-10,2464;46,8742;Alfornelos
-10,2379;46,8767;Pontinha
-10,1358;46,8777;Cabo Ruivo
-10,1919;46,8842;Quinta das Conchas
-10,1299;46,8849;Oriente
-10,1615;46,8855;Aeroporto
-10,1961;46,8925;Lumiar
-10,1472;46,8950;Encarnação
-10,1334;46,8948;Moscavide
-10,1963;46,9014;Ameixoeira
-10,2101;46,9103;Senhor Roubado
-10,2116;46,9214;Odivelas
